image_path,ground_truth,pred_text,cer
data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_003/eSc_line_c539e2c4.png,मनगरवाटक्रकुछंदनामवुद्धप्राप्तभै.श्रीस्वयंभूज्योतीरूपकार.गुह्येश्वरीकादर्शनगरी.योषादलउत्तर,मनगरवाटकुछंदनामवुद्धप्राप्तभै.श्रीस्वयंभूज्योतीरूपकार.गुह्येश्वरीकादर्शनगरी.योषादलउत्तर,0.03333333507180214
data/oldNepaliDataset_new/images/DNA_0012_0007/eSc_line_3cd0a031.png,चलाइ.रामदासलाइकरोवारितुल्याइमहन्तमोहन्दास्ले.चर्चीआया,चलाइ.रामदासलाइकारोवारिजुल्याइमहन्तमोहन्दास्लेचर्चीआया,0.056603774428367615
data/oldNepaliDataset_new/images/DNA_1_00000523/eSc_line_ce78f8da.png,श्री\,श्रील्,0.4000000059604645
data/oldNepaliDataset_new/images/DNA_1_00000054/eSc_line_c3b06a9d.png,चह्राइपठायाकोछ.नजरभैविस्तारजाहेरहोला.सिक्षाअर्त्तिमेहरवान्गि,चह्राइपठायाकोछ.नजरभैविस्तारजाहेरहोला.सिक्षाअर्तिमेहरवान्गि,0.03333333507180214
data/oldNepaliDataset_new/images/20/eSc_line_10f1f218.png,उद्धारभैगयाको.गोकर्णतीर्थमागै.तपस्यागर्नजाउँभनिमनमाचिंतनागरी.उन्तीर्थमागै.त्योतक्ष,उद्धारभैगयाको.गोकर्णतीर्थमागै.तपस्यागर्नजाउँभनिमनमाचिंतुनागरी.उन्तीर्थमागै.त्योतक्ष,0.012195121496915817
data/oldNepaliDataset_new/images/DNA_0001_0368/eSc_line_78a84a60.png,नभनि.मैलेजवावदिञापायाकोषवरविन्तिचह्राइपठायाकोसाचोझु,नभनि.मैलेजवावदिञापायाकोषवरविन्तिचह्राइपठायाको.साघोहु,0.05882352963089943
data/oldNepaliDataset_new/images/DNA_0015_0290/eSc_line_e6979dc9.png,छालादिननसक्न्याकाघरमासार्किकामीकाघरवाट.आठआठआना.अरूजातकाघरवा,छालादिननक्न्याकाघरमासार्किकामीकाघरवाट.आठआठआनाअरुजातकाघरवा,0.050847455859184265
data/oldNepaliDataset_new/images/DNA_2_00000293_result/eSc_line_268bc19d.png,इनायतहुवा।इसगडबडकेहोनेसे।रुपयामेराबहोतषर्चमे।पड,इनापतहुवा।इसगडवडकेहोनेसे।रुपयामेरा।बहोतषर्चमे।पड,0.06382978707551956
data/oldNepaliDataset_new/images/DNA_1_00000410/eSc_line_32ed68b3.png,॥स्वस्तिश्रीसर्वोपमानोपमेयशौर्य्योदार्यादिसकलस,॥स्वस्तिश्रीसर्वोपमानोपमेपशौर्योदार्यादिसकलस,0.06521739065647125
data/oldNepaliDataset_new/images/DNA_0001_0006/eSc_line_71b86d70.png,गर्नुभनि1वाटकामवक्सनुभयामाफिक्ञाहाआईनिरंतरअनुष्ठानपनीअध्ययन,गर्नुभनि1वाटकामवक्सनुभयामाफिक्ञाहाआईनिरंतरअचुद्धानपनीअध्ययन,0.050847455859184265
